MASV,HOTEN,PHAI,NGSINH,DCHI,DT,MACT,MANGANH,SOTCTL,DTBTL
SV0001,Rufus Upton,female,18-05-2000,72140 Jacobs Parks,0914-875-404,CLC,MMTVT,100,9.3
SV0002,Donald Dach,female,7/7/2000,82143 Lavina Branch,0995-809-519,CLC,TGMT,72,8.6
SV0003,Miss Elaine Purdy,female,11/11/2000,11700 Shania Points,0901-962-623,CLC,CNTT,84,8.3
SV0004,Natalie Huel,male,14-02-2002,53513 Corkery Land,0957-133-528,CLC,MMTVT,88,7.4
SV0005,Shirley DuBuque,female,14-06-2004,243 Carli Freeway,0984-189-798,CLC,CNTT,108,8.9
SV0006,Dale Bashirian,female,21-10-2001,28883 Walker Plaza,0960-080-744,CQ,CNPM,92,7.3
SV0007,Martin Luettgen DVM,male,2/10/2001,9291 Jimmy Mountain,0975-197-143,CTTT,MMTVT,72,7.9
SV0008,Ms. Willie Legros,female,8/5/2001,5630 Sauer Common,0996-259-915,CQ,HTTT,88,8.3
SV0009,Cory Jenkins I,female,18-04-2002,85226 Bins Port,0941-111-742,CTTT,MMTVT,112,7.7
SV0010,Manuel Koelpin III,male,8/7/2001,2077 Cronin Orchard,0970-227-946,VP,TGMT,76,8.3
SV0011,Garry Parisian,female,29-04-2002,0267 Mohr Way,0935-722-076,CLC,MMTVT,104,7.1
SV0012,Dr. Lynda DuBuque,male,30-09-2001,90635 Carolina Garden,0944-743-209,CTTT,MMTVT,84,7.1
SV0013,Lana Abernathy II,female,10/11/2003,020 Gislason Alley,0944-402-736,CTTT,MMTVT,80,7.8
SV0014,Gregory Koch,male,24-12-2004,897 Feest Forges,0989-619-205,VP,KHMT,92,7.7
SV0015,Carmen Davis,male,28-01-2003,921 Cecil Run,0997-529-632,VP,MMTVT,92,8
SV0016,Ellis Hegmann IV,male,14-06-2005,7760 Dickens Court,0915-995-728,VP,KHMT,92,7.4
SV0017,Taylor Kiehn,male,18-11-2004,983 Ortiz Plaza,0962-825-913,VP,KHMT,108,8.9
SV0018,Noah Yost,female,22-03-2003,3025 Casey Green,0943-163-127,CTTT,TGMT,76,9.4
SV0019,Ricky Williamson,female,7/9/2001,74959 Luz Unions,0967-341-742,CQ,MMTVT,84,7.9
SV0020,Mrs. Lionel Marks Jr.,male,20-03-2002,36373 Mathew Route,0912-338-797,CTTT,CNPM,84,9.9
SV0021,Lowell Bradtke,female,1/5/2004,99856 Estella Haven,0923-805-450,CTTT,MMTVT,72,9.7
SV0022,Victor Weimann,female,2/12/2003,63026 Velda Terrace,0902-338-598,CQ,CNTT,104,7.2
